#: table_doi: 10.17182/hepdata.74824.v1/t128
#: name: Table 128
#: description: Dm wave cross section for -T.

#: data_file: Table128.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.855,0.85,0.86,0.2306,0.1974,-0.1974
0.865,0.86,0.87,0.2313,0.1972,-0.1972
0.875,0.87,0.88,0.2316,0.1963,-0.1963
0.885,0.88,0.89,0.2316,0.1949,-0.1949
0.895,0.89,0.9,0.2312,0.1929,-0.1929
0.905,0.9,0.91,0.2305,0.1903,-0.1903
0.915,0.91,0.92,0.2294,0.1872,-0.1872
0.925,0.92,0.93,0.228,0.1836,-0.1836
0.935,0.93,0.94,0.2261,0.1796,-0.1796
0.945,0.94,0.95,0.224,0.1752,-0.1752
0.955,0.95,0.96,0.2214,0.1705,-0.1705
0.965,0.96,0.97,0.2185,0.1654,-0.1654
0.975,0.97,0.98,0.2153,0.1602,-0.1602
0.985,0.98,0.99,0.2116,0.1547,-0.1547
0.995,0.99,1.0,0.2076,0.1492,-0.1492
1.005,1.0,1.01,0.2032,0.1437,-0.1437
1.0150000000000001,1.01,1.02,0.1985,0.1382,-0.1382
1.025,1.02,1.03,0.1933,0.1328,-0.1328
1.0350000000000001,1.03,1.04,0.1879,0.1275,-0.1275
1.045,1.04,1.05,0.1821,0.1225,-0.1225
1.0550000000000002,1.05,1.06,0.1761,0.1179,-0.1179
1.065,1.06,1.07,0.1698,0.1135,-0.1135
1.0750000000000002,1.07,1.08,0.1633,0.1096,-0.1096
1.085,1.08,1.09,0.1566,0.1061,-0.1061
1.0950000000000002,1.09,1.1,0.15,0.103,-0.103
1.105,1.1,1.11,0.1434,0.1004,-0.1004
1.1150000000000002,1.11,1.12,0.1371,0.0984,-0.0984
1.125,1.12,1.13,0.1313,0.0968,-0.0968
1.1349999999999998,1.13,1.14,0.1262,0.0959,-0.0959
1.145,1.14,1.15,0.1222,0.0957,-0.0957
1.1549999999999998,1.15,1.16,0.1198,0.0964,-0.0964
1.165,1.16,1.17,0.1193,0.0981,-0.0981
1.1749999999999998,1.17,1.18,0.1215,0.1011,-0.1011
1.185,1.18,1.19,0.1271,0.1058,-0.1058
1.1949999999999998,1.19,1.2,0.1367,0.1124,-0.1124
1.205,1.2,1.21,0.1513,0.1212,-0.1212
1.2149999999999999,1.21,1.22,0.1713,0.1323,-0.1323
1.225,1.22,1.23,0.1971,0.1457,-0.1457
1.2349999999999999,1.23,1.24,0.2283,0.1612,-0.1612
1.245,1.24,1.25,0.2637,0.1785,-0.1785
1.255,1.25,1.26,0.3012,0.197,-0.197
1.2650000000000001,1.26,1.27,0.3376,0.2158,-0.2158
1.275,1.27,1.28,0.3695,0.2341,-0.2341
1.2850000000000001,1.28,1.29,0.3938,0.2508,-0.2508
1.295,1.29,1.3,0.4086,0.2652,-0.2652
1.3050000000000002,1.3,1.31,0.4133,0.2769,-0.2769
