#: table_doi: 10.17182/hepdata.74824.v1/t182
#: name: Table 182
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table182.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
1.1150000000000002,1.11,1.12,-0.1013,0.0148,-0.0148
1.125,1.12,1.13,-0.0975,0.016,-0.016
1.1349999999999998,1.13,1.14,-0.0938,0.0173,-0.0173
1.145,1.14,1.15,-0.0903,0.0185,-0.0185
1.1549999999999998,1.15,1.16,-0.0869,0.0197,-0.0197
1.165,1.16,1.17,-0.0837,0.0206,-0.0206
1.1749999999999998,1.17,1.18,-0.0806,0.0213,-0.0213
1.185,1.18,1.19,-0.0777,0.0218,-0.0218
1.1949999999999998,1.19,1.2,-0.075,0.0219,-0.0219
1.205,1.2,1.21,-0.0725,0.0218,-0.0218
1.2149999999999999,1.21,1.22,-0.0704,0.0214,-0.0214
1.225,1.22,1.23,-0.0688,0.0209,-0.0209
1.2349999999999999,1.23,1.24,-0.0679,0.0202,-0.0202
1.245,1.24,1.25,-0.0678,0.0196,-0.0196
1.255,1.25,1.26,-0.0688,0.019,-0.019
1.2650000000000001,1.26,1.27,-0.071,0.0186,-0.0186
1.275,1.27,1.28,-0.0745,0.0185,-0.0185
1.2850000000000001,1.28,1.29,-0.0793,0.0189,-0.0189
