#: table_doi: 10.17182/hepdata.74824.v1/t116
#: name: Table 116
#: description: Pp wave cross section for -T.

#: data_file: Table116.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
1.1150000000000002,1.11,1.12,0.3445,0.2493,-0.2493
1.125,1.12,1.13,0.3284,0.2503,-0.2503
1.1349999999999998,1.13,1.14,0.3142,0.2514,-0.2514
1.145,1.14,1.15,0.3017,0.2527,-0.2527
1.1549999999999998,1.15,1.16,0.2906,0.2539,-0.2539
1.165,1.16,1.17,0.2807,0.255,-0.255
1.1749999999999998,1.17,1.18,0.2716,0.2558,-0.2558
1.185,1.18,1.19,0.2631,0.2562,-0.2562
1.1949999999999998,1.19,1.2,0.2552,0.2562,-0.2562
1.205,1.2,1.21,0.2476,0.2557,-0.2557
1.2149999999999999,1.21,1.22,0.2401,0.2546,-0.2546
1.225,1.22,1.23,0.2327,0.2531,-0.2531
1.2349999999999999,1.23,1.24,0.2252,0.251,-0.251
1.245,1.24,1.25,0.2176,0.2485,-0.2485
1.255,1.25,1.26,0.2099,0.2455,-0.2455
1.2650000000000001,1.26,1.27,0.2019,0.2422,-0.2422
1.275,1.27,1.28,0.1938,0.2386,-0.2386
1.2850000000000001,1.28,1.29,0.1856,0.2348,-0.2348
1.295,1.29,1.3,0.1773,0.2311,-0.2311
1.3050000000000002,1.3,1.31,0.1692,0.2275,-0.2275
1.315,1.31,1.32,0.1613,0.2242,-0.2242
