#: table_doi: 10.17182/hepdata.74824.v1/t103
#: name: Table 103
#: description: Pm wave cross section for -T.

#: data_file: Table103.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
1.0950000000000002,1.09,1.1,0.2627,0.1935,-0.1935
1.105,1.1,1.11,0.2384,0.1856,-0.1856
1.1150000000000002,1.11,1.12,0.2167,0.1778,-0.1778
1.125,1.12,1.13,0.1972,0.1701,-0.1701
1.1349999999999998,1.13,1.14,0.1798,0.1625,-0.1625
1.145,1.14,1.15,0.1644,0.155,-0.155
1.1549999999999998,1.15,1.16,0.1507,0.1476,-0.1476
1.165,1.16,1.17,0.1387,0.1403,-0.1403
1.1749999999999998,1.17,1.18,0.1281,0.1333,-0.1333
1.185,1.18,1.19,0.1189,0.1267,-0.1267
1.1949999999999998,1.19,1.2,0.1109,0.1205,-0.1205
1.205,1.2,1.21,0.1042,0.1149,-0.1149
1.2149999999999999,1.21,1.22,0.0986,0.1101,-0.1101
1.225,1.22,1.23,0.094,0.1061,-0.1061
1.2349999999999999,1.23,1.24,0.0904,0.1032,-0.1032
1.245,1.24,1.25,0.0878,0.1014,-0.1014
1.255,1.25,1.26,0.0862,0.1008,-0.1008
1.2650000000000001,1.26,1.27,0.0856,0.1015,-0.1015
1.275,1.27,1.28,0.086,0.1035,-0.1035
1.2850000000000001,1.28,1.29,0.0875,0.1068,-0.1068
1.295,1.29,1.3,0.0901,0.1114,-0.1114
1.3050000000000002,1.3,1.31,0.094,0.1173,-0.1173
1.315,1.31,1.32,0.0992,0.1245,-0.1245
